Uniq Id,Crawl Timestamp,Pageurl,Price,Product Name,Product Id,Description,Deal Info,Validity,Product Information,Bundle Id,Main Image,Card Price,Deal Title,Store Name
b31efc7e9884a43217b44d681b500892,2024-06-12 03:21:25 +0000,https://www.checkers.co.za/All-Departments/Toys/Action-Figures/Super-Changerobot-Transforming-Robot/p/10675919EA,R59.99,Super Changerobot Transforming Robot,10675919,"Not only is this toy entertaining, but it also helps kids enhance their creative skills. As they figure out how to transform the toy, they'll develop problem-solving skills and creativity. It's a great way to encourage kids to think outside the box and use their imaginations.","","",Product Brand=Unbranded|Product Width (mm)=45|Product Height (mm)=210|Product Length (mm)=185|Product Gross Weight (g)=0.12|What's in the box=1 x Car; 1 x Transforming Robot|Unit of Measure=EA|Main Barcode=6001224584530|Age Group= 8 Years+|Total Contents= 2|Style= Robot|Colour= Blue,"",https://www.checkers.co.za//medias/10675919EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w1Mzk5MTd8aW1hZ2UvcG5nfGltYWdlcy9oZDMvaDIzLzEwODUzODE3Mjg2Njg2LnBuZ3xjNGNlOTQxZmViMzRkMmQ2NzYzYjA5MTEzY2ViYjcxNDRjMzU5Yjc4NzY2MWEzZWQzZjUxMzU1ZWYyNDAzZWM2,"","",
1142b4d3c1585850d3219d5144660d26,2024-06-12 03:50:45 +0000,https://www.checkers.co.za/All-Departments/Toys/Puzzles/Kids-Puzzles/Barbie-Board-Puzzle-48-Piece/p/10854215EA_6009712541355,R39.99,Barbie Board Puzzle 48 Piece,10854215,"This puzzle offers more than just an engaging challenge – it's a gateway to endless possibilities. Assemble it with friends and family for a memorable bonding experience, or indulge in some therapeutic solo puzzling to unwind after a long day. Let Barbie and her friends inspire you to create enchanting narratives and embark on exciting adventures.","","",Product Brand=Barbie|What's in the box=1 x Barbie Board Puzzle 48 Piece|Unit of Measure=EA|Main Barcode=6009712541355|Age Group= 3 Years+|Batteries Required= No|Assembly Required= Yes|Total Contents= 48|Size= 210 x 297mm|Colour Detail= Multicolour|Style= Puzzle,"",https://www.checkers.co.za//medias/10854215EA-6009712541355-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w5ODk4MTl8aW1hZ2UvcG5nfGltYWdlcy9oZDIvaDQ1LzEwOTUxNzI2NjI4ODk0LnBuZ3xiMGNlYjEwZWExYTg3NzQxNDFmNGY5MGRjNTYxMzZjMDExNmY2YWU4Y2RkNTBhMTYxMTYzMjg0ODgwYzZmYjM0,"","",
f69805933503753247963a501d7db6e2,2024-06-12 03:50:52 +0000,https://www.checkers.co.za/All-Departments/Gifts/Party-and-Decorations/Balloons/Valentine%27s-Day-Heart-Shape-Love-You-Balloon-30-72cm/p/10833428EA,R89.99,Valentine's Day Heart Shape Love You Balloon 30-72cm,000000000010833428,"When words fall short, let this heart-shaped balloon do the talking. You can make a grand gesture on Valentine's Day with it. It can be great decor for a romantic evening under a starlit sky or a surprise breakfast in bed. Its shimmering foil can reflect the glow of love shared between two souls.","","",Product Brand=Unbranded|Product Width (mm)=10|Product Height (mm)=140|Product Length (mm)=230|Product Gross Weight (g)=0.79|What's in the box=1x Valentine's Day Heart Shape Love You Balloon 30-72cm|Unit of Measure=EA|Main Barcode=8055513252424|Size= 30-72cm|Style= Balloon|Colour= Multicolour,"",https://www.checkers.co.za//medias/10833428EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wzMTcxOTl8aW1hZ2UvcG5nfGltYWdlcy9oZTYvaDlhLzExMDExMzM5MDU5MjMwLnBuZ3wxZjkzMDQzYjEzNjJhN2ViMDMwOWRiMmI1MjBmMjIwNzIxOGIzNjY1YmQ5ZDRkZDg5MDkzY2EzOTM5M2ExODcy,"","",
1a5ceed9fe6e730fd7f08112cade6794,2024-06-12 03:38:47 +0000,https://www.checkers.co.za/All-Departments/Pets/Pet-Food/Wet-Dog-Food/Petshop-Science-Adult-Chicken-Flavoured-Chunks-In-Gravy-Dog-Food-775g/p/10552045EA,R39.99,Petshop Science Adult Chicken Flavoured Chunks In Gravy Dog Food 775g,000000000010552045,"A complete, balanced and flavourful nutritional meal for adult dogs.","","",Product Brand=Petshop|Product Width (mm)=101|Product Height (mm)=119|Product Length (mm)=101|Product Weight=775g|Product Gross Weight (g)=897|Product Depth (mm)=101|Unit of Measure=EA|Main Barcode=6001224399035,"",https://www.checkers.co.za//medias/10552045EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wzMDIwODZ8aW1hZ2UvcG5nfGltYWdlcy9oYzQvaGQyLzg5NDczMjY3MTM4ODYucG5nfDY4YTRjOTU1MzM4MGEwODI5NjhjYWQ3ZWM5MDUwMjFkMjdkM2I1ZmNkNGY3ZmM0ZGE2NjI2YjI3NWQzNTU1ZGU,"","",
38d961b7765e89904aeb739108e6ee3f,2024-06-12 03:27:08 +0000,https://www.checkers.co.za/All-Departments/Health-and-Beauty/Skincare/Face-Cream-and-Moisturiser/Pond%27s-Normal-To-Oily-Skin-Vanishing-Cream-100ml/p/10124907EA,R44.99,Pond's Normal To Oily Skin Vanishing Cream 100ml,000000000010124907,"This dual active system, is especially designed to reduce excess oil with micro absorbers that give you an instant matte look. Added oil control ingredients, which over time, will help reduce oil build-up on your skin and caring vitamins to nourish your skin.","","",Product Brand=Pond's|Product Width (mm)=76|Product Height (mm)=75|Product Length (mm)=65|Product Gross Weight (g)=139|Product Volume=100ml|Product Depth (mm)=65|Unit of Measure=EA|Main Barcode=6001220005268,"",https://www.checkers.co.za//medias/10124907EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wxNDkzMjB8aW1hZ2UvcG5nfGltYWdlcy9oMzIvaDgyLzEwMDA2MDE0MTMyMjU0LnBuZ3xmNThjYzhjOWMwZWNiMzk3ZTQ4MjcyODg0MDBkMzIxMDVhNWJkYjZlYzdiZmYxZjE4YmExMTVlOTU2ZGY0MTlj,"","",
33019980ba88e4e96552ab15666b24ee,2024-06-12 03:43:17 +0000,https://www.checkers.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/Brown-and-Wholemeal-Bread/SASKO-Premium-Sliced-Brown-Bread-Loaf-700g/p/10241933EA,R17.99,SASKO Premium Sliced Brown Bread Loaf 700g,000000000010241933,"Every day, millions of South Africans consume this bread. Since the first loaf was prepared in 1930, professional bakers have ensured that each soft, delicious slice is packed full of nourishment, adding a touch of greatness to every energy-filled bite. This superior brown bread makes it simple to consume something nutritious every day. It is energy-dense, Halaal and Kosher certified, naturally cholesterol and trans-fat free, and vegetarian friendly.","","","Product Brand=SASKO|Product Width (mm)=90|Product Height (mm)=100|Product Length (mm)=117|Product Weight=700g|Product Gross Weight (g)=709|Product Depth (mm)=117|Unit of Measure=EA|Main Barcode=6001710010253|Allergens= Contains Wheat, Gluten & Soya.|Nutritional Information= See packaging for Best Before Date.|Size= 1 x 700g Sasko Premium Sliced Brown Bread Loaf|Style= Vegan, Halaal.","",https://www.checkers.co.za//medias/10241933EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wxODc5ODd8aW1hZ2UvcG5nfGltYWdlcy9oZDYvaDdmLzEwMjU4MjY2MDYyODc4LnBuZ3w5NmQ1ZmViYWNkMjkyMjc5ZTJlNTUwNGFhNmNmMWU3OTEyZTM5YzAzMDVkM2I5ZjlmODYzODhjMTk3NWU0NDkw,"","",
fca49a62886a35755143e37f82a9c867,2024-06-12 03:49:05 +0000,https://www.checkers.co.za/All-Departments/Household/Cleaning/Brooms%2C-Brushes-and-Mops/Mops/Fass-Natural-Green-Cleaning-Cotton-Mop/p/10760741EA,R79.99,Fass Natural Green Cleaning Cotton Mop,000000000010760741,"With the fantastic microfibre material included, this mop provides maximum absorbing power, making your life easier and the cleaning process that much more effective. A product that cares about the environment - even the connector is made of post-consumer recycled plastic.","","",Product Brand=Fass|Product Width (mm)=80|Product Height (mm)=30|Product Length (mm)=1480|Product Gross Weight (g)=446|What's in the box=1 x Fass Natural Green Cleaning Cotton Mop|Unit of Measure=EA|Main Barcode=8007385505061|Style= Cotton Mop|Colour= Green,"",https://www.checkers.co.za//medias/10760741EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wyNTM1OXxpbWFnZS9wbmd8aW1hZ2VzL2g0OS9oYjAvOTkxNjI2NzY5MjA2Mi5wbmd8NjFiZjk3M2JhZWUxNDA0NTBjZDA5YWRmNjEwNjNmOTE0NWRkNzFkNjdmYTI0NTVjYjI1NTE2MGViMTQ0ZDc3Mg,"","",
68b68983b768284f8fba499e17e07ebc,2024-06-12 03:33:16 +0000,https://www.checkers.co.za/All-Departments/Toys/Beach-and-Pool/Pool-Toys-and-Inflatables/Intex-Split-Animal-Ring-51cm/p/10120632EA,R39.99,Intex Split Animal Ring 51cm,10120632,"Anyone looking for an entertaining and practical pool inflatable should consider the Intex Split Animal Ring. This inflatable is made for use in the water and is ideal for a day of swimming and fun because it is made of strong, premium materials. The split animal design is simple to climb on and off, and the 51cm size is ideal for both children and adults, making it a great option for anyone looking to get the most out of their pool time. The Intex Split Animal Ring is sure to keep you relaxed for hours, whether you're playing games with friends or just unwinding in the water.","","","Product Brand=Intex|Product Width (mm)=20|Product Height (mm)=170|Product Length (mm)=300|Product Gross Weight (g)=5450|What's in the box=1 x Intex Split Animal Ring 51cm; 1 x Repair Patch|Unit of Measure=EA|Main Barcode=78257592203|Age Group= 5 Years +|Total Contents= 1|Size= 51cm|Colour Detail= Black, White And Yellow|Style= Pool Inflatable|Colour= Black","",https://www.checkers.co.za//medias/10120632EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wyMjk4OTR8aW1hZ2UvcG5nfGltYWdlcy9oYTQvaDYzLzkyODA3NTcyMDI5NzQucG5nfGI0MTcyOTY5ZTc2NTU5ZDA2ZWRmZDBiNzk4OGZlODI0ZjQyZDk5NjYyZDkzMDdiNTdmNTA1M2FhNDlhYjE4MDM,"","",
4bc18ba7ea852e64f1d8706ddc3bdbad,2024-06-12 03:58:47 +0000,https://www.checkers.co.za/All-Departments/Toys/Puzzles/Kids-Puzzles/Barbie-Board-Puzzle-36-Piece/p/10854215EA_6009712541348,R39.99,Barbie Board Puzzle 36 Piece,10854215,"More than just a pastime - it's a tool for cognitive development and problem-solving. With each piece strategically placed, minds are sharpened, creativity is unleashed, and spatial awareness is honed. It's an educational journey disguised as play, making it an ideal addition to classrooms, playrooms, and therapy sessions alike.","","",Product Brand=Barbie|What's in the box=1 x Barbie Board Puzzle 36 Piece|Unit of Measure=EA|Main Barcode=6009712541348|Assembly Required= Yes|Total Contents= 36|Size= 210 x 297mm|Colour Detail= Multicolour|Style= Puzzle|Colour= Multicolour,"",https://www.checkers.co.za//medias/10854215EA-6009712541348-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w5OTE3Njh8aW1hZ2UvcG5nfGltYWdlcy9oMDQvaDczLzEwOTU4MTQxNTU0NzE4LnBuZ3wyZmU4OWYwODcyZTk2NmNjZDUwYmI5ZDNjYjE2NmIyN2U5ZDA0NDcyZTQxNTIwY2FlNGNmNGJmM2IxOGQ2M2Rj,"","",
6b1f55bd409f8338867dbe4ebc621d6a,2024-06-12 03:49:10 +0000,https://www.checkers.co.za/All-Departments/Household/Stationery-and-Newsagent/Books/Croxley-A4-Exercise-Book-72-Page/p/10453924EA,R8.99,Croxley A4 Exercise Book 72 Page,000000000010453924,Croxley provides you with various notebooks that you can make your school or worknotes on without any hassles.,"","",Product Brand=Croxley|Product Width (mm)=210|Product Height (mm)=4|Product Length (mm)=210|Product Gross Weight (g)=150|What's in the box=1 x Croxley A4 Exercise Book|Unit of Measure=EA|Main Barcode=6001396042074|Material= Paper|Size= A4|Style= Exercise Book|Colour= Multicolour,"",https://www.checkers.co.za//medias/10453924EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wyMzAwMDh8aW1hZ2UvcG5nfGltYWdlcy9oNzAvaGRmLzk5NDQ5MDM3MTI3OTgucG5nfGYwZjY4ODMzMjQ1ZjM5MzcyM2E4ZDJkZDQ4ZmNlZDUyYzNiYjhjYTZlZDdhZjk2YWFmMDM1MjkwMmU5ODlhNGQ,"","",
